Candidate,Public Financing Status,Office,Option,ID
"Levy, Sharon",Participant,City Council District 29,A,
"Li, Gigi",Participant,City Council District 01,A,
"Lind, Sara K",Participant,City Council District 06,A,
"Lizardo, Roberto E",Participant,Undeclared,A,
"Lopez-Pierre, Thomas A*",Undetermined,Manhattan Boro President,,
"Louis, Farah N",Undetermined,City Council District 45,,
"Lucas, Nikki",Participant,City Council District 42,A,
"Maron, Maud",Participant,City Council District 01,A,
"Marte, Christopher",Participant,City Council District 01,A,
"Maruf, Sultan A",Participant,City Council District 26,A,
"Matteo, Steven",Undetermined,Staten Island Boro President,,
"McDaniels, Ruth",Participant,City Council District 09,A,
"McGhie, Troy",Participant,City Council District 49,A,
"Melendez, Lena A",Participant,City Council District 07,A,
"Morales, Dianne",Participant,Mayor,A,
"Morgan, Vivia",Participant,City Council District 40,A,
"Morris, Blake",Participant,City Council District 40,A,
"Moscaritolo, Kim",Participant,City Council District 05,A,
"Moya, Francisco P",Participant,Undeclared,B,
"Narcisse, Mercedes",Participant,City Council District 46,A,
"Newton, Judy D",Participant,City Council District 46,A,
"Noble, Boris",Participant,City Council District 48,B,
"Nurse, Sandy",Participant,City Council District 37,A,
"O'Leary, Brent M",Participant,City Council District 26,A,
"Ogunleye, Morounranti",Participant,City Council District 49,A,
"Ordonez, Maria",Participant,City Council District 07,A,
"Ortega, Corey",Participant,City Council District 07,A,
"Osina, Pesach",Participant,Undeclared,A,
"Osse', Chi A",Participant,City Council District 36,A,
"Ozeri, Bianca",Participant,City Council District 26,A,
"Packer, Joseph",Participant,City Council District 47,A,
"Padernacht, Daniel A",Participant,City Council District 11,A,
"Parker, Kevin S",Participant,Comptroller,A,
"Patzer, Steven D",Participant,City Council District 47,A,
"Paul, Shirley S",Participant,City Council District 46,A,
"Pepitone, William A",Non-Participant,Mayor,B,
"Perez, Josue G",Participant,City Council District 10,A,
"Pierre, Josue",Participant,City Council District 40,A,
"Pirozzolo, Sam T",Participant,City Council District 50,A,
"Potosky, Toba",Participant,City Council District 33,A,
"Powers, Keith",Undetermined,City Council District 04,,
"Quart, Dan*",Undetermined,Undeclared,,
"Quiroz, Alfonso",Participant,City Council District 25,A,
"Raymond, Edwin",Participant,City Council District 40,A,
"Reed, Everett R",Participant,City Council District 10,A,
"Rein, Briget A",Participant,City Council District 39,A,
"Reynoso, Antonio",Participant,Brooklyn Boro President,A,
"Richards, Kelvin",Participant,City Council District 49,A,
"Riley, Kevin C",Participant,City Council District 12,A,
"Rivera, Carlina L",Participant,City Council District 02,A,
"Rivera, Haile M",Participant,City Council District 14,A,
"Robbins, Nicholas J",Participant,City Council District 49,A,
"Robertson, Hector",Participant,City Council District 35,A,
"Roloson, Nicholas",Participant,City Council District 22,A,
"Rosen, Seth M",Participant,City Council District 06,A,
"Rosenthal, Helen K",Participant,Comptroller,A,
"Salamanca, Jr., Rafael",Undetermined,Undeclared,,
"Sanchez, Pierina A",Participant,City Council District 14,A,
"Saperstein, Steven",Participant,City Council District 48,A,
"Scala, Michael G",Participant,City Council District 32,A,
"Schulman, Lynn C",Participant,City Council District 29,A,
"Sherman, Stu",Participant,City Council District 33,A,
"Shimamura, Tricia",Participant,City Council District 05,A,
"Silva, Manuel",Participant,City Council District 31,A,
"Silver, Nayma",Participant,City Council District 10,A,
"Simpson-Amsterdam, Sheba T",Participant,City Council District 09,A,
"Singh, Felicia",Participant,City Council District 32,A,
"Smith, Uniqua S",Participant,City Council District 16,A,
"Solano, Socrates S",Participant,Undeclared,A,
"Solotaire, Benjamin A",Participant,City Council District 33,A,
"Somboun, April",Participant,City Council District 33,A,
"Sosa, Christopher A",Participant,City Council District 05,A,
"Sterlacci, Nicholas*§",Undetermined,City Council District 46,,
"Stevens, Althea",Participant,City Council District 16,A,
"Stringer, Scott M",Participant,Undeclared,A,
"Sutton, Loree K",Participant,Mayor,B,
"Tapia, Yudelka",Participant,City Council District 14,A,
"Taylor, Joycelyn",Participant,Mayor,A,
"Tejada, Luis M",Participant,City Council District 07,A,
"Then, Dionel J",Participant,City Council District 11,A,
"Torres, Ritchie J",Undetermined,Undeclared,,
"Townsend, Rod",Participant,City Council District 22,A,
"Turane, Timothy E",Participant,City Council District 27,A,
"Ung, Sandra",Participant,City Council District 20,A,
"Vallone, Paul A",Participant,Undeclared,A,
"Van Bramer, James",Participant,Undeclared,A,
"Watkins, Kimberly R",Participant,Manhattan Boro President,A,
"Watson, Gena M",Participant,City Council District 42,A,
"Weprin, David I",Participant,Comptroller,A,
"West, Brandon",Participant,City Council District 39,A,
"Whitehead-Miller, Lamor",Undetermined,Brooklyn Boro President,,
"Willabus, R. Dimple",Participant,City Council District 46,A,
"Williams, Nantasha M",Participant,City Council District 27,A,
"Wong, Edwin K",Participant,City Council District 29,A,
"Wonica, George S",Participant,City Council District 50,A,
"Yeger, Kalman",Undetermined,Undeclared,,
"Young, Ebony R*",Participant,City Council District 26,A,
"Yozzo, Ralph E§",Undetermined,City Council District 36,,
"Zuniga, Ceasar",Participant,City Council District 38,A,
